grounding_query,intent,topic,citations,citation_share
low pe ratio stocks,Informational,Stock Market & Portfolio Management,53,30.81%
Gilead Sciences annual revenue trends,Research,Pharmaceutical Industry,22,13.84%
most profitable stocks right now,Research,Stock Market & Portfolio Management,9,12.50%
Gilead Sciences revenue growth trends,—,—,9,39.13%
low PE ratio meaning,Informational,Stock Market & Portfolio Management,7,43.75%
companies with low pe ratio,—,—,7,31.82%
most profitable small cap stocks,—,—,6,27.27%
historical stock valuation ratios PE EV/EBITDA sources,Research,Stock Market & Portfolio Management,6,16.22%
large cap value stocks,—,—,5,31.25%
Nvidia shares outstanding 2026,Informational,Stock Market & Portfolio Management,5,100.00%
UPS current P/E ratio September 2025,Utility,Stock Market & Portfolio Management,3,21.43%
