URL,page family,target query,query cluster,baseline impressions,baseline clicks,baseline CTR,baseline position,old title,new title,old H1,new H1,change reason,deployment date placeholder
https://www.stockportfolio.pro/stocks/WAB/dividend-history,metric,"""shares outstanding - wab"" ""earnings per share - wab""",earnings/profit,53.0,0.0,0.0,1.4716981132075473,WAB Dividend History History,WAB Dividend History: $173.00M (2025) | Westinghouse Air Brake Technolo,WAB Dividend,Westinghouse Air Brake Technolo Dividend History 2008–2025,Ranking-only relevance correction: exact metric wording/ticker ownership or full comparison names/tickers.,TBD — not deployed
https://www.stockportfolio.pro/stocks/WAB/shares-outstanding,metric,"""earnings per share - wab""",earnings/profit,622.0,0.0,0.0,1.8344051446945338,WAB Shares Outstanding History,WAB Shares Outstanding History: 170.6M (2025) | Westinghouse Air Brake Technolo,WAB Shares Outstanding,Westinghouse Air Brake Technolo Shares Outstanding 2008–2025,Ranking-only relevance correction: exact metric wording/ticker ownership or full comparison names/tickers.,TBD — not deployed
https://www.stockportfolio.pro/stocks/WAB/eps,metric,"""shares outstanding - wab"" financial",shares/dilution,300.0,0.0,0.0,1.55,WAB EPS History,WAB Earnings per Share (EPS) History: $6.83 (2025) | Westinghouse Air Brake Technolo,WAB EPS,Westinghouse Air Brake Technolo Earnings per Share (EPS) 2008–2025,Ranking-only relevance correction: exact metric wording/ticker ownership or full comparison names/tickers.,TBD — not deployed
https://www.stockportfolio.pro/compare/PLTK-vs-YELP,comparison,playtika ltd. yelp,other,979.0,0.0,0.0,9.993871297242084,"PLTK vs YELP Stock Comparison: Revenue, Margins, P/E and ROE",Playtika Holding (PLTK) vs Yelp (YELP) | SEC-filed comparison,PLTK vs YELP: Which Stock Is the Better Buy?,Playtika Holding Corp. (PLTK) vs Yelp Inc. (YELP),Ranking-only relevance correction: exact metric wording/ticker ownership or full comparison names/tickers.,TBD — not deployed
https://www.stockportfolio.pro/stocks/RITM,metric,site:stockportfolio.pro,other,3.0,0.0,0.0,1.0,,,,,Ranking-only relevance correction: exact metric wording/ticker ownership or full comparison names/tickers.,TBD — not deployed
https://www.stockportfolio.pro/compare/F-vs-NKE,comparison,nike vs ford,comparison,20.0,0.0,0.0,5.65,"F vs NKE Stock Comparison: Revenue, Margins, P/E and ROE",Ford Motor (F) vs NIKE (NKE) | SEC-filed comparison,F vs NKE: Which Stock Is the Better Buy?,"Ford Motor Company (F) vs NIKE, Inc. (NKE)",Ranking-only relevance correction: exact metric wording/ticker ownership or full comparison names/tickers.,TBD — not deployed
https://www.stockportfolio.pro/stocks/TMQ,metric,site:stockportfolio.pro,other,7.0,0.0,0.0,4.714285714285714,,,,,Ranking-only relevance correction: exact metric wording/ticker ownership or full comparison names/tickers.,TBD — not deployed
https://www.stockportfolio.pro/stocks/DELL/shares-outstanding,metric,dell technologies historical revenue fy2016 fy2017 fy2018 fy2019 fy2020 fy2021 fy2022 fy2023 fy2024 fy2025,revenue,13.0,0.0,0.0,8.76923076923077,DELL Shares Outstanding History,DELL Shares Outstanding History: 652.0M (2026) | Dell Technologies,DELL Shares Outstanding,Dell Technologies Inc. Shares Outstanding 2015–2026,Ranking-only relevance correction: exact metric wording/ticker ownership or full comparison names/tickers.,TBD — not deployed
https://www.stockportfolio.pro/compare/JBL-vs-UI,comparison,ubiquiti vs jbl,comparison,6.0,0.0,0.0,4.5,"JBL vs UI Stock Comparison: Revenue, Margins, P/E and ROE",Jabil (JBL) vs Ubiquiti (UI) | SEC-filed comparison,JBL vs UI: Which Stock Is the Better Buy?,Jabil Inc. (JBL) vs Ubiquiti Inc. (UI),Ranking-only relevance correction: exact metric wording/ticker ownership or full comparison names/tickers.,TBD — not deployed
https://www.stockportfolio.pro/stocks/GEVO,metric,site:stockportfolio.pro,other,5.0,0.0,0.0,1.6,,,,,Ranking-only relevance correction: exact metric wording/ticker ownership or full comparison names/tickers.,TBD — not deployed
