claim,source,date/window,metric,evidence,confidence,implication
"Nine real AppSumo orders","Authenticated AppSumo Partner Portal",2026-07-20_to_2026-08-20,orders,"9 payable-code sales; QA licence excluded from customer cohort",HIGH,"AppSumo is the only proven purchase channel"
"Gross AppSumo GMV is $801","Authenticated AppSumo Partner Portal",2026-07-20_to_2026-08-20,GMV_USD,801.00,HIGH,"Only $199 gross remains to a $1,000 gross target"
"Partner revenue is $183.97","Authenticated AppSumo Partner Portal",2026-07-20_to_2026-08-20,partner_revenue_USD,183.97,HIGH,"$816.03 remains to $1,000 founder proceeds"
"AppSumo discounts total $88.58","Authenticated AppSumo Partner Portal",2026-07-20_to_2026-08-20,discounts_USD,-88.58,HIGH,"Sticker price and buyer-paid net revenue must not be mixed"
"No AppSumo refunds are recorded","Authenticated AppSumo Partner Portal",through_2026-08-20,refunds,0,HIGH,"Current portal revenue is unreduced by recorded refunds but remains subject to settlement timing"
"Direct Stripe retained revenue is zero","Stripe API read-only audit",through_2026-08-21,net_GBP,0,"HIGH","One GBP 7 charge was fully refunded; no active subscription"
"Seven of nine real AppSumo orders redeemed","Mongo licence reconciliation",through_2026-08-21,redemption_rate,"7/9 = 77.8%",HIGH,"Two buyers have not reached product value; one is less than a day old"
"Completed Ask is the most common observed buyer action","Mongo/Ollama usage reconciliation",through_2026-08-21,buyer_adoption,"6/7 redeemed buyers; 76 calls",HIGH,"Promote and improve Ask activation; do not claim it caused purchase"
"Ask usage is concentrated","Mongo/Ollama usage reconciliation",through_2026-08-21,concentration,"one buyer 54/76 calls; top two 67/76",HIGH,"Average Ask usage overstates typical adoption"
"Four of seven buyers have attributable page telemetry","Mongo funnel-event reconciliation",through_2026-08-21,page_coverage,"4/7",HIGH,"Page matrices are lower bounds; missing is NA rather than zero"
"One buyer has an observable pre-purchase product journey","Mongo funnel-event reconciliation",through_2026-08-21,prepurchase_coverage,"1/7 redeemed",HIGH,"The purchase aha moment is not identifiable for six buyers"
"The only observed pre-purchase sequence repeatedly visited dossier","Mongo funnel-event reconciliation",2026-08-04,sequence,"home → dossier → home → dossier → home",MEDIUM,"Dossier is a hypothesis for conversion, not validated causal evidence"
"Tier 2/3 buyers all used Ask","Mongo/Ollama usage reconciliation",through_2026-08-21,Ask_adoption,"4/4 Tier 2/3 redeemed buyers",HIGH,"Tier 3 should lead the AppSumo conversion narrative, subject to tiny-n caveat"
"Six of seven buyers used Ask","Mongo/Ollama usage reconciliation",through_2026-08-21,Ask_adoption,"6/7",HIGH,"Source-backed Ask is the strongest observed activation signal"
"Buyer discovery is unknown for eight orders","AppSumo/Mongo/email attribution audit",through_2026-08-21,known_discovery,"1/9 high-confidence; 8/9 unknown",HIGH,"Do not credit X, search, direct, or AppSumo internal discovery without evidence"
